2026-07-27 13:06:46,728 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/embeddings "HTTP/1.1 200 OK"
2026-07-27 13:06:46,729 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:46,729 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:46,729 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-27 13:06:46,729 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-27 13:06:46,749 | DEBUG    | faiss.loader | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2026-07-27 13:06:46,749 | INFO     | faiss.loader | Loading faiss with AVX2 support.
2026-07-27 13:06:46,749 | INFO     | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-07-27 13:06:46,749 | INFO     | faiss.loader | Loading faiss.
2026-07-27 13:06:46,866 | INFO     | faiss.loader | Successfully loaded faiss.
2026-07-27 13:06:49,487 | INFO     | phoenix_rag.rag_pipeline | Answering question 1/10
2026-07-27 13:06:49,519 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:49,525 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:49,525 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:49,527 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:49,529 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
