iteration,chunk_size,chunk_overlap,top_k,similarity_threshold,retriever_type,faithfulness,context_recall,context_precision,response_relevancy
1,300,50,1,0.0,similarity,0.7083333333333333,0.75,0.9999999999,0.7843324533366922
2,600,100,4,0.4,similarity_score_threshold,0.75,0.9,0.9222222221737038,0.674837373298665
3,800,150,6,0.5,similarity_score_threshold,0.85,1.0,0.8780833332914973,0.8105782931196834
4,1200,200,4,0.6,similarity_score_threshold,0.85,1.0,0.9166666666131944,0.831010547562566
5,1000,150,5,0.55,similarity_score_threshold,0.9,1.0,0.892222222174426,0.8132091722992436
6,1000,200,5,0.55,similarity_score_threshold,0.85,1.0,0.9224999999546458,0.8293604999903963
